Creating 3 nodes.
MOBILE: 
node 0 getnode 0x1f1de40 dst-> 0x1ff2cd0 10.0.0.1 source-> 0x1ff30f0
SENSOR: 
seconds interval2
node 1 getnode 0x1f1e3b0 dst-> 0x1ff4910 10.0.0.2 source-> 0x1ff4a70
BASE: 
node 2 getnode 0x1f1e140 dst-> 0x1ff5d00 10.0.0.3 source-> 0x1ff6330
Starting simulation for 2734 s, seed value 12345673
94.5 0 0 9 702 0 1053.3 952.67
94.5 0 0 0 0 0 1549.3 262.67
95.5 0 0 0 0 0 884.91 1016.9
95.5 0 0 9 702 0 1053.3 952.67
95.5 0 0 0 0 0 1549.3 262.67
96.5 0 0 0 0 0 885.08 1016.9
96.5 0 0 9 702 0 1053.3 952.67
96.5 0 0 0 0 0 1549.3 262.67
97.5 0 0 0 0 0 885.42 1016.9
97.5 0 0 9 702 0 1053.3 952.67
97.5 0 0 0 0 0 1549.3 262.67
98.5 0 0 0 0 0 886.08 1017
98.5 0 0 9 702 0 1053.3 952.67
98.5 0 0 0 0 0 1549.3 262.67
99.5 0 0 0 0 0 886.5 1017.8
99.5 0 0 9 702 0 1053.3 952.67
99.5 0 0 0 0 0 1549.3 262.67
At time 100 created bundle with sequence number 2007 from 10.0.0.2 to 10.0.0.3
100.5 0 0 0 0 0 886.75 1019.3
100.5 0 0 10 780 0 1053.3 952.67
100.5 0 0 0 0 0 1549.3 262.67
101.5 0 0 0 0 0 887.17 1020.3
101.5 0 0 10 780 0 1053.3 952.67
101.5 0 0 0 0 0 1549.3 262.67
102.5 0 0 0 0 0 887.33 1020.4
102.5 0 0 10 780 0 1053.3 952.67
102.5 0 0 0 0 0 1549.3 262.67
103.5 0 0 0 0 0 887.98 1020.7
103.5 0 0 10 780 0 1053.3 952.67
103.5 0 0 0 0 0 1549.3 262.67
104.5 0 0 0 0 0 889.54 1021.3
104.5 0 0 10 780 0 1053.3 952.67
104.5 0 0 0 0 0 1549.3 262.67
105.5 0 0 0 0 0 891.37 1022
105.5 0 0 10 780 0 1053.3 952.67
105.5 0 0 0 0 0 1549.3 262.67
106.5 0 0 0 0 0 893.22 1022.8
106.5 0 0 10 780 0 1053.3 952.67
106.5 0 0 0 0 0 1549.3 262.67
107.5 0 0 0 0 0 895.14 1023.7
107.5 0 0 10 780 0 1053.3 952.67
107.5 0 0 0 0 0 1549.3 262.67
108.5 0 0 0 0 0 897.3 1024.7
108.5 0 0 10 780 0 1053.3 952.67
108.5 0 0 0 0 0 1549.3 262.67
109.5 0 0 0 0 0 899.55 1025.5
109.5 0 0 10 780 0 1053.3 952.67
109.5 0 0 0 0 0 1549.3 262.67
At time 110 created bundle with sequence number 2208 from 10.0.0.2 to 10.0.0.3
110.5 0 0 0 0 0 901.54 1026.1
110.5 0 0 11 858 0 1053.3 952.67
110.5 0 0 0 0 0 1549.3 262.67
111.5 0 0 0 0 0 903.23 1026.9
111.5 0 0 11 858 0 1053.3 952.67
111.5 0 0 0 0 0 1549.3 262.67
112.5 0 0 0 0 0 904.58 1027.6
112.5 0 0 11 858 0 1053.3 952.67
112.5 0 0 0 0 0 1549.3 262.67
113.5 0 0 0 0 0 905.62 1028.3
113.5 0 0 11 858 0 1053.3 952.67
113.5 0 0 0 0 0 1549.3 262.67
114.5 0 0 0 0 0 906.34 1029
114.5 0 0 11 858 0 1053.3 952.67
114.5 0 0 0 0 0 1549.3 262.67
115.5 0 0 0 0 0 906.65 1029.4
115.5 0 0 11 858 0 1053.3 952.67
115.5 0 0 0 0 0 1549.3 262.67
116.5 0 0 0 0 0 906.77 1030.4
116.5 0 0 11 858 0 1053.3 952.67
116.5 0 0 0 0 0 1549.3 262.67
117.5 0 0 0 0 0 906.82 1032
117.5 0 0 11 858 0 1053.3 952.67
117.5 0 0 0 0 0 1549.3 262.67
118.5 0 0 0 0 0 907.03 1033.2
118.5 0 0 11 858 0 1053.3 952.67
118.5 0 0 0 0 0 1549.3 262.67
119.5 0 0 0 0 0 907.33 1033.9
119.5 0 0 11 858 0 1053.3 952.67
119.5 0 0 0 0 0 1549.3 262.67
At time 120 created bundle with sequence number 2409 from 10.0.0.2 to 10.0.0.3
120.5 0 0 0 0 0 907.89 1034.6
120.5 0 0 12 936 0 1053.3 952.67
120.5 0 0 0 0 0 1549.3 262.67
121.5 0 0 0 0 0 909.26 1035.3
121.5 0 0 12 936 0 1053.3 952.67
121.5 0 0 0 0 0 1549.3 262.67
122.5 0 0 0 0 0 911.5 1036.2
122.5 0 0 12 936 0 1053.3 952.67
122.5 0 0 0 0 0 1549.3 262.67
123.5 0 0 0 0 0 914.08 1036.7
123.5 0 0 12 936 0 1053.3 952.67
123.5 0 0 0 0 0 1549.3 262.67
124.5 0 0 0 0 0 916.83 1037.1
124.5 0 0 12 936 0 1053.3 952.67
124.5 0 0 0 0 0 1549.3 262.67
125.5 0 0 0 0 0 920.76 1038.6
125.5 0 0 12 936 0 1053.3 952.67
125.5 0 0 0 0 0 1549.3 262.67
126.5 0 0 0 0 0 926.35 1041.1
126.5 0 0 12 936 0 1053.3 952.67
126.5 0 0 0 0 0 1549.3 262.67
127.5 0 0 0 0 0 931.01 1042.9
127.5 0 0 12 936 0 1053.3 952.67
127.5 0 0 0 0 0 1549.3 262.67
128.5 0 0 0 0 0 933.44 1043.9
128.5 0 0 12 936 0 1053.3 952.67
128.5 0 0 0 0 0 1549.3 262.67
129.5 0 0 0 0 0 934.78 1044.7
129.5 0 0 12 936 0 1053.3 952.67
129.5 0 0 0 0 0 1549.3 262.67
At time 130 created bundle with sequence number 2610 from 10.0.0.2 to 10.0.0.3
130.5 0 0 0 0 0 935.33 1045
130.5 0 0 13 1014 0 1053.3 952.67
130.5 0 0 0 0 0 1549.3 262.67
131.5 0 0 0 0 0 935.58 1045.2
131.5 0 0 13 1014 0 1053.3 952.67
131.5 0 0 0 0 0 1549.3 262.67
132.5 0 0 0 0 0 935.73 1045.4
132.5 0 0 13 1014 0 1053.3 952.67
132.5 0 0 0 0 0 1549.3 262.67
133.5 0 0 0 0 0 936.07 1045.5
133.5 0 0 13 1014 0 1053.3 952.67
133.5 0 0 0 0 0 1549.3 262.67
134.5 0 0 0 0 0 936.51 1045.5
134.5 0 0 13 1014 0 1053.3 952.67
134.5 0 0 0 0 0 1549.3 262.67
135.5 0 0 0 0 0 936.94 1045.5
135.5 0 0 13 1014 0 1053.3 952.67
135.5 0 0 0 0 0 1549.3 262.67
136.5 0 0 0 0 0 937.12 1045.6
136.5 0 0 13 1014 0 1053.3 952.67
136.5 0 0 0 0 0 1549.3 262.67
137.5 0 0 0 0 0 937.17 1045.7
137.5 0 0 13 1014 0 1053.3 952.67
137.5 0 0 0 0 0 1549.3 262.67
138.5 0 0 0 0 0 937 1046.3
138.5 0 0 13 1014 0 1053.3 952.67
138.5 0 0 0 0 0 1549.3 262.67
139.5 0 0 0 0 0 936.58 1047.4
139.5 0 0 13 1014 0 1053.3 952.67
139.5 0 0 0 0 0 1549.3 262.67
At time 140 created bundle with sequence number 2811 from 10.0.0.2 to 10.0.0.3
140.5 0 0 0 0 0 936.33 1047.8
140.5 0 0 14 1092 0 1053.3 952.67
140.5 0 0 0 0 0 1549.3 262.67
