Creating 4 nodes.
MOBILE: 
0: [10.0.0.8, 50, 300, 101, 102, 101, 102, 101, 102, 101, 102, 0]
1: [10.0.0.2, -, 0, -, -, -, -, -, -, -, -, 1]
2: [10.0.0.3, -, -, -, -, -, -, -, -, -, -, 0]


node 0 getnode 0x159ee40 dst-> 0x167a270 10.0.0.1 source-> 0x167a440
SENSOR: 
seconds interval2
node 1 getnode 0x159f3b0 dst-> 0x167baf0 10.0.0.2 source-> 0x167bf10
SENSOR: 
seconds interval1
node 2 getnode 0x159f140 dst-> 0x167d120 10.0.0.3 source-> 0x167d7d0
BASE: 
node 3 getnode 0x159f230 dst-> 0x167ee30 10.0.0.4 source-> 0x167f250
Starting simulation for 800 s, seed value 12345671
At time 85 created bundle with sequence number 1722 from 10.0.0.3 to 10.0.0.4
85.5 0 0 0 0 0 876.35 1012.6
85.5 0 0 8 808 0 1053.3 952.67
85.5 0 0 17 1632 0 1100 726
85.5 0 0 0 0 0 1549.3 262.67
86.5 0 0 0 0 0 878.27 1012.7
86.5 0 0 8 808 0 1053.3 952.67
86.5 0 0 17 1632 0 1100 726
86.5 0 0 0 0 0 1549.3 262.67
87.5 0 0 0 0 0 879.68 1012.7
87.5 0 0 8 808 0 1053.3 952.67
87.5 0 0 17 1632 0 1100 726
87.5 0 0 0 0 0 1549.3 262.67
88.5 0 0 0 0 0 880.93 1012.7
88.5 0 0 8 808 0 1053.3 952.67
88.5 0 0 17 1632 0 1100 726
88.5 0 0 0 0 0 1549.3 262.67
89.5 0 0 0 0 0 881.88 1013.4
89.5 0 0 8 808 0 1053.3 952.67
89.5 0 0 17 1632 0 1100 726
89.5 0 0 0 0 0 1549.3 262.67
At time 90 created bundle with sequence number 1823 from 10.0.0.2 to 10.0.0.4
At time 90 created bundle with sequence number 1824 from 10.0.0.3 to 10.0.0.4
90.5 0 0 0 0 0 882.65 1014.2
90.5 0 0 9 909 0 1053.3 952.67
90.5 0 0 18 1728 0 1100 726
90.5 0 0 0 0 0 1549.3 262.67
91.5 0 0 0 0 0 883.4 1015.7
91.5 0 0 9 909 0 1053.3 952.67
91.5 0 0 18 1728 0 1100 726
91.5 0 0 0 0 0 1549.3 262.67
92.5 0 0 0 0 0 883.91 1016.8
92.5 0 0 9 909 0 1053.3 952.67
92.5 0 0 18 1728 0 1100 726
92.5 0 0 0 0 0 1549.3 262.67
93.5 0 0 0 0 0 884.33 1016.8
93.5 0 0 9 909 0 1053.3 952.67
93.5 0 0 18 1728 0 1100 726
93.5 0 0 0 0 0 1549.3 262.67
94.5 0 0 0 0 0 884.66 1016.8
94.5 0 0 9 909 0 1053.3 952.67
94.5 0 0 18 1728 0 1100 726
94.5 0 0 0 0 0 1549.3 262.67
At time 95 created bundle with sequence number 1925 from 10.0.0.3 to 10.0.0.4
95.5 0 0 0 0 0 884.91 1016.9
95.5 0 0 9 909 0 1053.3 952.67
95.5 0 0 19 1824 0 1100 726
95.5 0 0 0 0 0 1549.3 262.67
96.5 0 0 0 0 0 885.08 1016.9
96.5 0 0 9 909 0 1053.3 952.67
96.5 0 0 19 1824 0 1100 726
96.5 0 0 0 0 0 1549.3 262.67
97.5 0 0 0 0 0 885.42 1016.9
97.5 0 0 9 909 0 1053.3 952.67
97.5 0 0 19 1824 0 1100 726
97.5 0 0 0 0 0 1549.3 262.67
