+42750000020.0ns; NODE: 0; POS: x=1274.39, y=760.931, z=0; VEL: x=0, y=0, z=0
+43000000000.0ns; NODE: 0; POS: x=1274.39, y=760.931, z=0; VEL: x=-16.924, y=-0.282776, z=0
+43250000066.0ns; NODE: 0; POS: x=1270.16, y=760.861, z=0; VEL: x=0, y=0, z=0
+43500000000.0ns; NODE: 0; POS: x=1270.16, y=760.861, z=0; VEL: x=-15.276, y=0.843711, z=0
+43749999978.0ns; NODE: 0; POS: x=1266.34, y=761.071, z=0; VEL: x=0, y=0, z=0
+44000000000.0ns; NODE: 0; POS: x=1266.34, y=761.071, z=0; VEL: x=-14.8568, y=5.42301, z=0
+44249999967.0ns; NODE: 0; POS: x=1262.62, y=762.427, z=0; VEL: x=0, y=0, z=0
+44500000000.0ns; NODE: 0; POS: x=1262.62, y=762.427, z=0; VEL: x=-17.4221, y=4.11199, z=0
+44749999931.0ns; NODE: 0; POS: x=1258.27, y=763.455, z=0; VEL: x=0, y=0, z=0
+45000000000.0ns; NODE: 0; POS: x=1258.27, y=763.455, z=0; VEL: x=-16.8679, y=4.73766, z=0
+45249999951.0ns; NODE: 0; POS: x=1254.05, y=764.64, z=0; VEL: x=0, y=0, z=0
+45500000000.0ns; NODE: 0; POS: x=1254.05, y=764.64, z=0; VEL: x=-15.5401, y=7.26018, z=0
+45750000007.0ns; NODE: 0; POS: x=1250.17, y=766.455, z=0; VEL: x=0, y=0, z=0
+46000000000.0ns; NODE: 0; POS: x=1250.17, y=766.455, z=0; VEL: x=-13.8211, y=9.49378, z=0
+46250000059.0ns; NODE: 0; POS: x=1246.71, y=768.828, z=0; VEL: x=0, y=0, z=0
+46500000000.0ns; NODE: 0; POS: x=1246.71, y=768.828, z=0; VEL: x=-13.1309, y=8.46228, z=0
+46749999978.0ns; NODE: 0; POS: x=1243.43, y=770.944, z=0; VEL: x=0, y=0, z=0
+47000000000.0ns; NODE: 0; POS: x=1243.43, y=770.944, z=0; VEL: x=-13.6236, y=11.1584, z=0
+47249999952.0ns; NODE: 0; POS: x=1240.02, y=773.733, z=0; VEL: x=0, y=0, z=0
+47500000000.0ns; NODE: 0; POS: x=1240.02, y=773.733, z=0; VEL: x=-11.3515, y=13.3434, z=0
+47750000005.0ns; NODE: 0; POS: x=1237.18, y=777.069, z=0; VEL: x=0, y=0, z=0
+48000000000.0ns; NODE: 0; POS: x=1237.18, y=777.069, z=0; VEL: x=-8.011, y=13.7118, z=0
+48250000052.0ns; NODE: 0; POS: x=1235.18, y=780.497, z=0; VEL: x=0, y=0, z=0
+48500000000.0ns; NODE: 0; POS: x=1235.18, y=780.497, z=0; VEL: x=-6.19243, y=14.1766, z=0
+48749999998.0ns; NODE: 0; POS: x=1233.63, y=784.041, z=0; VEL: x=0, y=0, z=0
+49000000000.0ns; NODE: 0; POS: x=1233.63, y=784.041, z=0; VEL: x=-3.4627, y=17.4783, z=0
+49250000042.0ns; NODE: 0; POS: x=1232.77, y=788.411, z=0; VEL: x=0, y=0, z=0
+49500000000.0ns; NODE: 0; POS: x=1232.77, y=788.411, z=0; VEL: x=-3.79302, y=15.9972, z=0
+49749999979.0ns; NODE: 0; POS: x=1231.82, y=792.41, z=0; VEL: x=0, y=0, z=0
+50000000000.0ns; NODE: 0; POS: x=1231.82, y=792.41, z=0; VEL: x=-1.25629, y=15.8451, z=0
+50250000019.0ns; NODE: 0; POS: x=1231.51, y=796.371, z=0; VEL: x=0, y=0, z=0
+50500000000.0ns; NODE: 0; POS: x=1231.51, y=796.371, z=0; VEL: x=1.01261, y=14.8375, z=0
+50750000062.0ns; NODE: 0; POS: x=1231.76, y=800.081, z=0; VEL: x=0, y=0, z=0
+51000000000.0ns; NODE: 0; POS: x=1231.76, y=800.081, z=0; VEL: x=2.42507, y=15.2851, z=0
+51250000073.0ns; NODE: 0; POS: x=1232.36, y=803.902, z=0; VEL: x=0, y=0, z=0
+51500000000.0ns; NODE: 0; POS: x=1232.36, y=803.902, z=0; VEL: x=-0.785323, y=20.2471, z=0
+51750000050.0ns; NODE: 0; POS: x=1232.17, y=808.964, z=0; VEL: x=0, y=0, z=0
+52000000000.0ns; NODE: 0; POS: x=1232.17, y=808.964, z=0; VEL: x=5.64629, y=19.0091, z=0
+52250000034.0ns; NODE: 0; POS: x=1233.58, y=813.716, z=0; VEL: x=0, y=0, z=0
+52500000000.0ns; NODE: 0; POS: x=1233.58, y=813.716, z=0; VEL: x=9.9529, y=14.1921, z=0
+52750000011.0ns; NODE: 0; POS: x=1236.07, y=817.264, z=0; VEL: x=0, y=0, z=0
+53000000000.0ns; NODE: 0; POS: x=1236.07, y=817.264, z=0; VEL: x=13.1072, y=11.122, z=0
+53250000029.0ns; NODE: 0; POS: x=1239.35, y=820.045, z=0; VEL: x=0, y=0, z=0
+53500000000.0ns; NODE: 0; POS: x=1239.35, y=820.045, z=0; VEL: x=10.5413, y=10.7833, z=0
+53750000043.0ns; NODE: 0; POS: x=1241.98, y=822.74, z=0; VEL: x=0, y=0, z=0
+54000000000.0ns; NODE: 0; POS: x=1241.98, y=822.74, z=0; VEL: x=9.21991, y=11.3763, z=0
+54249999959.0ns; NODE: 0; POS: x=1244.29, y=825.584, z=0; VEL: x=0, y=0, z=0
+54500000000.0ns; NODE: 0; POS: x=1244.29, y=825.584, z=0; VEL: x=14.7483, y=6.22323, z=0
+54749999947.0ns; NODE: 0; POS: x=1247.97, y=827.14, z=0; VEL: x=0, y=0, z=0
+55000000000.0ns; NODE: 0; POS: x=1247.97, y=827.14, z=0; VEL: x=13.8344, y=8.2758, z=0
+55249999988.0ns; NODE: 0; POS: x=1251.43, y=829.209, z=0; VEL: x=0, y=0, z=0
+55500000000.0ns; NODE: 0; POS: x=1251.43, y=829.209, z=0; VEL: x=15.791, y=6.63841, z=0
+55750000046.0ns; NODE: 0; POS: x=1255.38, y=830.869, z=0; VEL: x=0, y=0, z=0
+56000000000.0ns; NODE: 0; POS: x=1255.38, y=830.869, z=0; VEL: x=15.0525, y=4.4836, z=0
+56249999995.0ns; NODE: 0; POS: x=1259.14, y=831.99, z=0; VEL: x=0, y=0, z=0
